version 1,version 2,version 3,version 4
4.0,7.0,4.0,5.0
2.0,7.0,4.0,5.0
4.0,7.0,4.0,5.0
4.0,6.0,1.0,5.0
3.0,7.0,4.0,5.0
4.0,7.0,4.0,5.0
4.0,7.0,4.0,5.0
4.0,7.0,4.0,5.0
4.0,7.0,4.0,5.0
4.0,7.0,4.0,5.0
4.0,7.0,4.0,5.0
4.0,7.0,4.0,5.0
4.0,7.0,4.0,5.0
4.0,7.0,4.0,5.0
4.0,4.0,2.0,5.0
4.0,7.0,4.0,5.0
4.0,7.0,4.0,5.0
4.0,7.0,4.0,5.0
4.0,7.0,4.0,5.0
1.0,3.0,4.0,5.0
4.0,7.0,4.0,5.0
23.0,7.0,4.0,5.0
,7.0,4.0,5.0
,5.0,4.0,5.0
,7.0,4.0,5.0
,7.0,4.0,5.0
,7.0,4.0,2.0
,7.0,4.0,5.0
,7.0,4.0,5.0
,7.0,4.0,5.0
,7.0,4.0,5.0
,7.0,4.0,5.0
,7.0,4.0,5.0
,7.0,4.0,5.0
,2.0,4.0,5.0
,7.0,4.0,5.0
,7.0,4.0,89.0
,7.0,4.0,5.0
,1.0,4.0,5.0
,7.0,4.0,5.0
,7.0,4.0,5.0
,7.0,4.0,5.0
,7.0,4.0,5.0
,7.0,4.0,5.0
,,4.0,5.0
,,4.0,5.0
,,4.0,5.0
,,3.0,5.0
,,4.0,4.0
,,4.0,5.0
,,4.0,5.0
,,4.0,5.0
,,4.0,5.0
,,4.0,5.0
,,4.0,5.0
,,4.0,5.0
,,4.0,5.0
,,4.0,5.0
,,4.0,5.0
,,4.0,5.0
,,4.0,5.0
,,4.0,5.0
,,4.0,5.0
,,4.0,5.0
,,4.0,5.0
,,4.0,5.0
,,,5.0
,,,5.0
,,,5.0
,,,5.0
,,,1.0
,,,5.0
,,,5.0
,,,5.0
,,,5.0
,,,5.0
,,,5.0
,,,5.0
,,,5.0
,,,5.0
,,,3.0
,,,5.0
,,,5.0
,,,5.0
,,,5.0
,,,5.0
,,,5.0
,,,5.0
4.0,7.0,4.0,5.0
